foerderungsnehmer;sendername;gefoerdertes_objekt;foerderungsart;kategorie;zugesagte_foerderung;jahr;antragstermin
"4M Digital Media OG";"RE eins";Huamatgfühl;"Inhalte- und Projektförderung TV";TV;"2288.00";2017;"2"
"4M Digital Media OG";"RE | eins";"Runtergschaut aufs Außerfern";"Inhalte- und Projektförderung TV";TV;"9570.00";2017;"1"
"4M Digital Media OG";"RE eins";Dorfgespräche;"Inhalte- und Projektförderung TV";TV;"3058.00";2017;"2"
"4M Digital Media OG";"RE | eins";"RE | Aktuell";"Inhalte- und Projektförderung TV";TV;"40000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"oe24.TV Polit-Talk";"Inhalte- und Projektförderung TV";TV;"310000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";Sprechtraining;"Ausbildungsförderung TV";TV;"7350.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"oe24.TV Abendnachrichten";"Inhalte- und Projektförderung TV";TV;"310000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"oe24.TV News";"Inhalte- und Projektförderung TV";TV;"370000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"Reichweitenerhebung und Marktpositionierung oe24.TV";"Reichweitenerhebungs- und Qualitätsstudienförderung TV";TV;"21000.00";2017;"1"
"Alpenfunk GmbH";"Radio Lounge FM Salzburg";"Pauschaliert - Der Social Media User als Kunde. HörerInnen-Relations in Zeiten von Web 2.0";"Ausbildungsförderung HF";HF;"5000.00";2017;"1"
"Alpenfunk GmbH";"Radio Lounge FM Salzburg";"Lokalnachrichten Salzburg";"Inhalte- und Projektförderung HF";HF;"24090.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Radio Ö24 Morgenshow";"Inhalte- und Projektförderung HF";HF;"38898.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"110720.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Der erfolgreiche Verkauf von Radiowerbung";"Ausbildungsförderung HF";HF;"4340.00";2017;"2"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Tirol";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"11975.04";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24 Bregenz und Dornbirn";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"25447.40";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Radio Ö24 - Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"110806.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Antenne Salzburg Morgenshow";"Inhalte- und Projektförderung HF";HF;"55535.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Sprech- und News-Training";"Ausbildungsförderung HF";HF;"5250.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Programmschulung und Workshop Redaktion";"Ausbildungsförderung HF";HF;"2065.00";2017;"2"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24 Aichfeld-Oberes Murtal";"Radiotest Aufstockungskosten - Radio Ö24 Steiermark";"Reichweitenerhebungs- und Qualitätsstudienförderung HF";HF;"1944.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Faszination Verkauf - Der erfolgreiche Verkauf";"Ausbildungsförderung HF";HF;"10066.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Radio Ö24 Österreich Show";"Inhalte- und Projektförderung HF";HF;"9323.00";2017;"2"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Lehrredaktion - Die Österreich Medienakademie";"Ausbildungsförderung HF";HF;"6370.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24 Aichfeld-Oberes Murtal";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"31028.25";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";Sprechtraining;"Ausbildungsförderung HF";HF;"4673.93";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Social Media als Recherchetool";"Ausbildungsförderung HF";HF;"661.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Das perfekte Wochenende inkl. Sunrise";"Inhalte- und Projektförderung HF";HF;"19962.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Themenmanagement in den Regionalnachrichten";"Ausbildungsförderung HF";HF;"840.00";2017;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Kärntens bestgelaunte Morgenshow";"Inhalte- und Projektförderung HF";HF;"81429.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Aufbaukurs Videoseminar";"Ausbildungsförderung HF";HF;"472.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Morgenshowseminar;"Ausbildungsförderung HF";HF;"2800.00";2017;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Nachrichten;"Inhalte- und Projektförderung HF";HF;"15684.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Moderationsworkshop;"Ausbildungsförderung HF";HF;"1120.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Atem- und Sprechtechnik";"Ausbildungsförderung HF";HF;"2520.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Drivetime;"Inhalte- und Projektförderung HF";HF;"46868.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Nachrichten;"Inhalte- und Projektförderung HF";HF;"17548.00";2017;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"On-Air Strategie und On-Air Marketing";"Ausbildungsförderung HF";HF;"7280.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Projektmanagement;"Ausbildungsförderung HF";HF;"1750.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Nachrichten;"Inhalte- und Projektförderung HF";HF;"19667.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"On-Air Strategie und On-Air Marketing";"Ausbildungsförderung HF";HF;"7280.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Social Media als Recherchetool";"Ausbildungsförderung HF";HF;"661.00";2017;"1"
